rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
59,0,0,2,1,4,[-0.14528728  0.5538585  -0.18388748  0.1970746   0.36960894  0.6065726 ]
60,0,0,2,2,0,[-0.13617112  0.65837145  0.20605384  0.41205198  0.48166978  0.94480324]
61,0,0,2,2,1,[-0.3860128   0.28166342  0.36448544  0.49628502 -0.01461388  0.6234484 ]
62,0,0,2,2,2,[-0.17272152 -0.23935334 -0.19573638  0.1929153   0.3981996  -0.22915226]
63,0,0,2,2,3,[-0.49128658  0.17026758  0.48477444  0.55168885 -0.26441595  0.5562302 ]
64,0,0,2,2,4,[-0.08489019  0.30600095 -0.0372138   0.20446935  0.3702273   0.40820485]
65,0,0,2,3,0,"[-1.0910433e-03  1.1355938e+00  4.1337985e-01  7.1087867e-01
  9.6787637e-01  1.6413176e+00]"
66,0,0,2,3,1,[-0.25687996  0.7799423   0.6402525   0.85677594  0.37494254  1.3801045 ]
67,0,0,2,3,2,[-0.14642935 -0.18939348 -0.14103529  0.3609988   0.7797323  -0.07394993]
68,0,0,2,3,3,[-0.354027    0.71430993  0.8059522   0.9481482   0.07354329  1.3833396 ]
69,0,0,2,3,4,[-0.03252667  0.5047841   0.04303407  0.36553463  0.70587045  0.72200644]
70,0,0,2,4,0,[-0.5417191   1.0934385   0.28436655  0.6289007   0.73814833  1.5032104 ]
71,0,0,2,4,1,[-1.1096133   0.23574097  0.60624397  0.7845103  -0.3525434   0.74986833]
72,0,0,2,4,2,[-0.56417555 -0.7426169  -0.5434958   0.20501226  0.6083003  -0.89454705]
73,0,0,2,4,3,[-1.3474413  -0.02448489  0.8575603   0.89618754 -0.89420235  0.5823197 ]
74,0,0,2,4,4,[-0.34403872  0.45702326 -0.18309532  0.26729     0.5927388   0.534473  ]
75,0,0,3,0,0,[-0.0878313  1.2613045  0.4577883  0.7148995  1.106976   1.7801642]
76,0,0,3,0,1,[-0.37619197  0.87250066  0.706054    0.8821169   0.4214987   1.4861194 ]
77,0,0,3,0,2,[-0.2574345  -0.26749942 -0.15282847  0.31244725  0.8926529  -0.16901644]
78,0,0,3,0,3,[-0.48070836  0.8129133   0.88733315  0.9914178   0.07409656  1.4985294 ]
79,0,0,3,0,4,[-0.10695922  0.53238744  0.046581    0.34105366  0.8145545   0.7473296 ]
80,0,0,3,1,0,[-0.308562    0.9558834   0.14864066  0.41649342  0.42127502  1.2650495 ]
81,0,0,3,1,1,[-0.77916545  0.17913434  0.3627739   0.5067564  -0.3864499   0.53709966]
82,0,0,3,1,2,[-0.23436886 -0.17590466 -0.41737068  0.15934625  0.39039293 -0.239396  ]
83,0,0,3,1,3,[-0.99767005 -0.12917821  0.5317817   0.5706309  -0.7972513   0.27354676]
84,0,0,3,1,4,[-0.1246733   0.6102995  -0.15309669  0.19048649  0.37128392  0.6989874 ]
85,0,0,3,2,0,[-0.13355596  0.6607087   0.21406478  0.39814997  0.46408582  0.959483  ]
86,0,0,3,2,1,[-0.39224637  0.25476956  0.36163363  0.47859234 -0.04126567  0.5971177 ]
87,0,0,3,2,2,[-0.15675332 -0.19282107 -0.16807505  0.18569633  0.39629394 -0.15183374]
88,0,0,3,2,3,[-0.5036138   0.12301563  0.47305873  0.531707   -0.29758137  0.500196  ]
89,0,0,3,2,4,[-0.07373109  0.33601233 -0.02140038  0.19785635  0.3668855   0.45698148]
90,0,0,3,3,0,[-0.00443291  1.1255866   0.41816524  0.68724954  0.9353242   1.6418407 ]
91,0,0,3,3,1,[-0.27295375  0.7308195   0.63039577  0.8271268   0.3298698   1.3259815 ]
92,0,0,3,3,2,[-0.13017778 -0.13922736 -0.10978763  0.3480348   0.76917946  0.01116009]
93,0,0,3,3,3,[-0.3787024   0.638258    0.78441995  0.9149264   0.01974948  1.2901626 ]
94,0,0,3,3,4,[-0.02188206  0.5354032   0.05990931  0.35381204  0.6950756   0.77311224]
95,0,0,3,4,0,[-0.5284671   1.1069041   0.30604315  0.60714394  0.708948    1.5485964 ]
96,0,0,3,4,1,[-1.1143707   0.18827361  0.60528547  0.75523764 -0.4004056   0.7096093 ]
97,0,0,3,4,2,[-0.5241327  -0.6374037  -0.48092964  0.19625434  0.61106586 -0.71894765]
98,0,0,3,4,3,[-1.3648995  -0.11469536  0.8379192   0.8621216  -0.95578885  0.47947532]
99,0,0,3,4,4,[-0.31527355  0.5261478  -0.14638491  0.258555    0.59124565  0.6474335 ]
100,0,0,4,0,0,[-0.12127905  1.3923231   0.4688906   0.7879649   1.2120292   1.9069746 ]
101,0,0,4,0,1,[-0.4385094   0.9730208   0.7471769   0.9764084   0.44920725  1.5934026 ]
102,0,0,4,0,2,[-0.31896764 -0.34261692 -0.21479893  0.3355813   0.9652858  -0.29490796]
103,0,0,4,0,3,[-0.55010533  0.91902256  0.9532511   1.1004105   0.06589219  1.6233722 ]
104,0,0,4,0,4,[-0.14273682  0.5643199   0.01820824  0.37072933  0.886168    0.75517666]
105,0,0,4,1,0,[-0.3658316   1.040434    0.13027105  0.45590916  0.4465675   1.3320045 ]
106,0,0,4,1,1,[-0.8863335   0.1877789   0.37011582  0.55766207 -0.45278758  0.5337578 ]
107,0,0,4,1,2,[-0.29130515 -0.2499445  -0.50310177  0.16702223  0.40525115 -0.37186435]
108,0,0,4,1,3,[-1.1253178  -0.14390898  0.56188273  0.6302683  -0.90722287  0.25495368]
109,0,0,4,1,4,[-0.16065319  0.6439993  -0.19921349  0.20435888  0.39194915  0.70255065]
110,0,0,4,2,0,[-0.16595727  0.7220679   0.21200745  0.43583786  0.5005274   1.0147538 ]
111,0,0,4,2,1,[-0.45183042  0.27827325  0.3772439   0.52639955 -0.06220557  0.6194493 ]
112,0,0,4,2,2,[-0.1970079  -0.24866231 -0.21557024  0.19733776  0.42035362 -0.24198489]
113,0,0,4,2,3,[-0.5729201   0.13935874  0.50382555  0.58675045 -0.3455058   0.521548  ]
114,0,0,4,2,4,[-0.09853313  0.35196343 -0.04523751  0.21323217  0.39316258  0.45612976]
115,0,0,4,3,0,[-0.02781578  1.2407415   0.42917895  0.7553994   1.0214509   1.7591336 ]
116,0,0,4,3,1,[-0.32377094  0.8127165   0.6667474   0.912737    0.3474894   1.4188044 ]
117,0,0,4,3,2,[-0.17501716 -0.19544858 -0.16145502  0.37462425  0.8298285  -0.08288787]
118,0,0,4,3,3,[-0.43752298  0.7201943   0.8416702   1.0123107   0.00511603  1.392537  ]
119,0,0,4,3,4,[-0.04644644  0.57028806  0.03705548  0.38432488  0.7544863   0.79192734]
120,0,0,4,4,0,[-0.61988974  1.2015309   0.28949684  0.66628164  0.7570939   1.6162757 ]
121,0,0,4,4,1,[-1.2677248   0.19544321  0.62478405  0.83329684 -0.4783961   0.69910645]
122,0,0,4,4,2,[-0.62623924 -0.78308135 -0.5915451   0.20444202  0.63828    -0.9494333 ]
123,0,0,4,4,3,[-1.5406929  -0.12566927  0.88908076  0.9546658  -1.0925314   0.46372682]
124,0,0,4,4,4,[-0.38199624  0.53767776 -0.20501918  0.27750888  0.62743956  0.6135972 ]
125,0,1,0,0,0,[-0.03095888  0.59940964  0.1955706   0.35047448  0.48075584  0.9062984 ]
126,0,1,0,0,1,[-0.20217332  0.32421637  0.32564256  0.42563927  0.12319132  0.6894968 ]
127,0,1,0,0,2,[-0.06781045 -0.02828659 -0.10530496  0.16788696  0.41321096  0.05496478]
128,0,1,0,0,3,[-0.27617034  0.23664878  0.4223537   0.47381836 -0.06167332  0.6430183 ]
129,0,1,0,0,4,[-0.01529572  0.32333606  0.00108441  0.17598732  0.37086692  0.45862746]
130,0,1,0,1,0,[-0.13588992  0.50318086  0.02237979  0.2113342   0.1656073   0.6972528 ]
131,0,1,0,1,1,[-0.3974514   0.03506357  0.14136066  0.25145274 -0.256562    0.26233202]
