timestamp,water_level_cm,precip_kauno-ams,temp_kauno-ams,Pt,API_t,API_norm,SMI_t,S_t,delta_WL_t
2022-01-01,0.0,0.9,2.28,0.9,0.9,0.014918008231133532,5.699999999999999,0.9998518392091162,0.0
2022-01-02,0.0,15.3,-0.15,15.3,16.065,0.30098874718608865,0.0,0.9994074007397048,0.0
2022-01-03,13.0,8.0,5.15,8.0,21.655250000000002,0.40644255189712974,12.875,0.998666816288476,13.0
2022-01-04,92.0,2.0,4.35,2.0,20.406962500000002,0.38289500639411406,10.875,0.9976303053065857,79.0
2022-01-05,127.0,0.8,2.0,0.8,18.145918125,0.3402429368150705,5.0,0.9962981749346078,35.0
2022-01-06,141.0,0.2,-0.02,0.2,15.62403040625,0.29267034972214345,0.0,0.9946708199115211,14.0
2022-01-07,107.0,0.0,-2.19,0.0,13.2804258453125,0.24846087470957542,0.0,0.9927487224577402,-34.0
2022-01-08,109.0,0.0,-1.71,0.0,11.288361968515625,0.21088282094889263,0.0,0.9905324521322229,2.0
2022-01-09,76.0,0.0,-1.32,0.0,9.595107673238282,0.17894147525231224,0.0,0.9880226656636976,-33.0
2022-01-10,113.0,0.1,-1.63,0.1,8.255841522252538,0.15367771940200892,0.0,0.9852201067560606,37.0
2022-01-11,118.0,0.0,-4.95,0.0,7.017465293914658,0.1303171389374611,0.0,0.9821256058680006,5.0
2022-01-12,93.0,0.0,-6.48,0.0,5.964845499827459,0.11046064554259546,0.0,0.9787400799669153,-25.0
2022-01-13,0.0,0.2,2.85,0.2,5.27011867485334,0.09735540214053968,7.125,0.9750645322571948,-93.0
2022-01-14,0.0,1.1,4.3,1.1,5.57960087362534,0.10319343717490238,10.75,0.9711000518829505,0.0
2022-01-15,8.0,0.0,1.61,0.0,4.742660742581539,0.08740549904442055,4.025,0.9668478136052775,8.0
2022-01-16,34.0,0.2,-0.69,0.2,4.231261631194308,0.077758527617091,0.0,0.9623090774541486,26.0
2022-01-17,56.0,6.2,0.4,6.2,9.796572386515162,0.18274188141126152,1.0,0.9574851883550393,22.0
2022-01-18,72.0,0.0,-0.65,0.0,8.327086528537889,0.15502167664532582,0.0,0.9523775757303974,16.0
2022-01-19,53.0,0.0,0.95,0.0,7.078023549257205,0.13145950259428046,2.375,0.9469877530760753,-19.0
2022-01-20,22.0,3.5,-0.42,3.5,9.516320016868624,0.17745523436354227,0.0,0.9413173175128471,-31.0
2022-01-21,25.0,2.2,-0.35,2.2,10.288872014338331,0.19202856247414468,0.0,0.9353679493131483,3.0
2022-01-22,16.0,0.2,-2.0,0.2,8.94554121218758,0.16668813153235648,0.0,0.9291414114031743,-9.0
2022-01-23,2.0,0.0,-4.46,0.0,7.6037100303594425,0.14137598924825653,0.0,0.9226395488404876,-14.0
2022-01-24,0.0,0.8,-2.01,0.8,7.263153525805526,0.13495177224109164,0.0,0.9158642882672872,-2.0
2022-01-25,2.0,1.9,1.12,1.9,8.073680496934697,0.15024145569469163,2.8000000000000003,0.9088176373395029,2.0
2022-01-26,0.0,0.9,-1.07,0.9,7.762628422394493,0.1443738067123515,0.0,0.901501684131884,-2.0
2022-01-27,0.0,3.2,2.12,3.2,9.798234159035319,0.18277322888853262,5.300000000000001,0.893918596519257,0.0
2022-01-28,0.0,1.1,1.71,1.1,9.428499035180021,0.17579858991069636,4.275,0.886070621534138,0.0
2022-01-29,28.0,5.1,0.2,5.1,13.114224179903017,0.24532566645113593,0.5,0.8779600847008882,28.0
2022-01-30,9.0,9.9,1.34,9.9,21.047090552917567,0.39497030511643016,3.35,0.869589389346611,-19.0
2022-01-31,81.0,3.9,-1.5,3.9,21.79002696997993,0.40898496847452953,0.0,0.8609610158889943,72.0
2022-02-01,81.0,1.6,-2.11,1.6,20.121522924482942,0.3775105085177438,0.0,0.8520775211013093,0.0
2022-02-02,73.0,3.1,-2.17,3.1,20.203294485810503,0.3790530374313261,0.0,0.8429415373547828,-8.0
2022-02-03,68.0,0.4,-4.47,0.4,17.572800312938924,0.32943171122954074,0.0,0.8335557718385699,-5.0
2022-02-04,88.0,0.7,-1.78,0.7,15.636880265998084,0.2929127479333931,0.0,0.8239230057575542,20.0
2022-02-05,0.0,3.6,1.64,3.6,16.891348226098373,0.3165768808935781,4.1,0.8140460935082178,-88.0
2022-02-06,0.0,3.9,1.4,3.9,18.257645992183615,0.3423505578851053,3.5,0.8039279618328213,0.0
2022-02-07,59.0,4.6,1.76,4.6,20.118999093356074,0.3774628992704335,4.4,0.7935716089521474,59.0
2022-02-08,109.0,1.5,1.9,1.5,18.60114922935266,0.34883036170247217,4.75,0.7829801036770629,50.0
2022-02-09,83.0,2.3,3.78,2.3,18.11097684494976,0.33958380870402505,9.45,0.7721565844991642,-26.0
2022-02-10,110.0,0.0,3.58,0.0,15.394330318207297,0.2883373148441748,8.95,0.7611042586607747,27.0
2022-02-11,166.0,0.8,1.71,0.8,13.885180770476202,0.25986889899762217,4.275,0.7498264012045686,56.0
2022-02-12,178.0,0.1,0.02,0.1,11.902403654904772,0.22246602958552236,0.05,0.7383263540031065,12.0
2022-02-13,132.0,0.0,0.18,0.0,10.117043106669056,0.18878720259344753,0.44999999999999996,0.7266075247685656,-46.0
2022-02-14,133.0,0.0,1.46,0.0,8.599486640668697,0.1601601996501839,3.65,0.7146733860429609,1.0
2022-02-15,157.0,0.9,2.22,0.9,8.209563644568393,0.1528047390745199,5.550000000000001,0.702527474169157,24.0
2022-02-16,151.0,3.3,4.35,3.3,10.278129097883134,0.19182590938816582,10.875,0.6901733882429719,-6.0
2022-02-17,148.0,13.1,4.98,13.1,21.836409733200664,0.4098599273501859,12.450000000000001,0.6776147890466889,-3.0
2022-02-18,180.0,4.4,2.63,4.4,22.960948273220566,0.43107308733217203,6.574999999999999,0.6648553979642865,32.0
2022-02-19,221.0,12.6,3.28,12.6,32.11680603223748,0.6037880886436409,8.2,0.6518989958787126,41.0
2022-02-20,241.0,2.8,1.97,2.8,30.099285127401856,0.5657298165629686,4.925,0.6387494220515272,20.0
2022-02-21,252.0,9.3,4.12,9.3,34.88439235829158,0.6559955047607477,10.3,0.6254105729852463,11.0
2022-02-22,266.0,1.5,0.93,1.5,31.151733504547842,0.5855830763692393,2.325,0.6118864012687243,14.0
2022-02-23,276.0,1.5,0.15,1.5,27.978973478865665,0.5257325122364571,0.375,0.5981809144059164,10.0
2022-02-24,272.0,0.0,2.27,0.0,23.782127457035816,0.4465637128467421,5.675,0.5842981736283683,-4.0
2022-02-25,258.0,1.5,3.23,1.5,21.714808338480445,0.40756605324233447,8.075,0.5702422926917871,-14.0
2022-02-26,239.0,0.0,2.89,0.0,18.45758708770838,0.34612222270173787,7.2250000000000005,0.5560174366570446,-19.0
2022-02-27,208.0,0.0,-1.13,0.0,15.688949024552121,0.29389496674223065,0.0,0.5416278206559814,-31.0
2022-02-28,201.0,0.0,-1.16,0.0,13.335606670869304,0.24950179917664955,0.0,0.5270777086423722,-7.0
2022-03-01,194.0,0.0,-0.37,0.0,11.335265670238908,0.21176760674590564,0.0,0.5123714121284237,-7.0
2022-03-02,189.0,0.0,-0.27,0.0,9.63497581970307,0.1796935431797733,0.0,0.49751328890718066,-5.0
2022-03-03,157.0,0.0,0.91,0.0,8.18972944674761,0.1524305891485608,2.275,0.48250774176121847,-32.0
2022-03-04,145.0,0.0,1.03,0.0,6.961270029735468,0.1292570782220302,2.575,0.46735921715800227,-12.0
2022-03-05,99.0,0.0,-1.82,0.0,5.917079525275148,0.1095595939344792,0.0,0.45207220393230435,-46.0
2022-03-06,59.0,0.0,-1.32,0.0,5.029517596483876,0.09281673229006084,0.0,0.43665123195606403,-40.0
2022-03-07,90.0,0.2,0.75,0.2,4.475089957011295,0.08235807587588526,1.875,0.4211008707960896,31.0
2022-03-08,112.0,1.9,0.14,1.9,5.703826463459601,0.10553681378426619,0.35000000000000003,0.40542572835999735,22.0
2022-03-09,112.0,1.5,-1.08,1.5,6.34825249394066,0.11769318903922993,0.0,0.38963044953078796,0.0
2022-03-10,96.0,0.0,-3.8,0.0,5.396014619849561,0.09973028812909895,0.0,0.37371971479046906,-16.0
2022-03-11,58.0,0.0,-2.14,0.0,4.586612426872127,0.08446182235548762,0.0,0.35769823883312546,-38.0
2022-03-12,52.0,0.0,0.74,0.0,3.8986205628413075,0.07148362644791798,1.85,0.3415707691678556,-6.0
2022-03-13,50.0,0.0,0.96,0.0,3.3138274784151114,0.0604521599264838,2.4,0.3253420847119801,-2.0
2022-03-14,55.0,0.0,1.14,0.0,2.8167533566528444,0.05107541338326474,2.8499999999999996,0.30901699437494745,5.0
2022-03-15,74.0,0.0,2.96,0.0,2.3942403531549177,0.04310517882152854,7.4,0.29260033563334836,19.0
2022-03-16,63.0,0.0,3.91,0.0,2.03510430018168,0.03633047944405278,9.775,0.27609697309746883,-11.0
2022-03-17,34.0,0.0,1.19,0.0,1.729838655154428,0.03057198497319838,2.9749999999999996,0.2595117970697999,-29.0
2022-03-18,16.0,0.0,0.94,0.0,1.470362856881264,0.025677264672972138,2.3499999999999996,0.2428497220959356,-18.0
2022-03-19,28.0,0.0,2.43,0.0,1.2498084283490742,0.02151675241777983,6.075,0.22611568550828828,12.0
2022-03-20,0.0,0.0,3.17,0.0,1.062337164096713,0.01798031700086637,7.925,0.20931464596304847,-28.0
2022-03-21,10.0,0.0,4.77,0.0,0.902986589482206,0.01497434689648993,11.924999999999999,0.19245158197082998,10.0
2022-03-22,0.0,0.0,5.83,0.0,0.767538601059875,0.012419272307769954,14.575,0.1755314904214282,-10.0
2022-03-23,0.0,0.0,6.44,0.0,0.6524078109008937,0.010247458907357976,16.1,0.15855938510313478,0.0
2022-03-24,22.0,0.0,5.28,0.0,0.5545466392657596,0.008401417517007794,13.200000000000001,0.141540295217043,22.0
2022-03-25,15.0,0.0,7.23,0.0,0.4713646433758957,0.0068322823352101394,18.075000000000003,0.12447926388678915,-7.0
2022-03-26,0.0,0.0,6.13,0.0,0.40065994686951134,0.0054985174306821346,15.325,0.10738134666416309,-15.0
2022-03-27,0.0,0.0,2.37,0.0,0.3405609548390846,0.004364817261833329,5.925000000000001,0.09025161003104117,0.0
2022-03-28,0.0,0.0,6.91,0.0,0.2894768116132219,0.003401172118311845,17.275,0.07309512989807777,0.0
2022-03-29,21.0,0.0,3.79,0.0,0.24605528987123862,0.002582073746318584,9.475,0.055916990100603484,21.0
2022-03-30,57.0,0.0,-1.56,0.0,0.20914699639055281,0.0018858401301243117,0.0,0.03872228089217446,36.0
2022-03-31,9.0,0.0,-0.21,0.0,0.17777494693196988,0.00129404155635918,0.0,0.021516097436222254,-48.0
2022-04-01,0.0,0.0,1.57,0.0,0.1511087048921744,0.0007910127686588186,3.9250000000000003,0.004303538296244289,-9.0
2022-04-02,0.0,0.0,1.62,0.0,0.12844239915834824,0.0003634382991135112,4.050000000000001,-0.01291029607500882,0.0
2022-04-03,0.0,0.0,0.5,0.0,0.109176039284596,0.0,1.25,-0.030120304846908114,0.0
2022-04-04,0.0,0.8,2.21,0.8,0.8927996333919066,0.014782181380073601,5.525,-0.04732138832243185,0.0
2022-04-05,0.0,6.1,2.21,6.1,6.85887968838312,0.12732559911800673,5.525,-0.06450844944931623,0.0
2022-04-06,41.0,3.8,3.61,3.8,9.630047735125652,0.1796005803840796,9.025,-0.08167639533042241,41.0
2022-04-07,2.0,0.9,10.84,0.9,9.085540574856804,0.16932906269833126,27.1,-0.09882013873287143,-39.0
2022-04-08,0.0,1.5,6.26,1.5,9.222709488628283,0.17191660061618524,15.649999999999999,-0.11593459959550041,-2.0
2022-04-09,0.0,0.5,4.4,0.5,8.33930306533404,0.15525212792846102,11.0,-0.1330147065341959,0.0
